scope,file,pid,field,rule,severity,value,expected,detail,reconciliation_status
classification_json,S0011-52582008000200002.json,S0011-52582008000200002,error_in_raw_text,error_in_raw_text_null,ERROR,<NULL>,No Error; Missing/Corrupt; Title/Text Mismatch,,resolved_by_normalization
classification_json,S0011-52582008000200002.json,S0011-52582008000200002,paper_uses_survey_data,paper_uses_survey_data_invalid,ERROR,FALSE [logical],no_survey_data; runs_original_survey; uses_public_available_survey,,resolved_by_normalization
classification_json,S0011-52582008000200002.json,S0011-52582008000200002,uses_original_dataset,uses_original_dataset_invalid,ERROR,FALSE [logical],original_survey; field_experiment; field_study; structure_systematize; procure_original_data; other_original_data; not_original,,resolved_by_normalization
classification_json,S0011-52582008000200002.json,S0011-52582008000200002,clear_causal_quantity_of_interest,clear_causal_quantity_of_interest_invalid,ERROR,FALSE [logical],ATE; ATT; ATC; LATE; CATE; ITT; FALSE,,resolved_by_normalization
classification_json,S0011-52582008000200002.json,S0011-52582008000200002,effort_to_explore_mechanisms,effort_to_explore_mechanisms_invalid,ERROR,FALSE [logical],No Mention of Mechanisms/Channels; Mechanisms/Channels Mentioned But Not Explored; Mechanisms/Channels Mentioned With Substantial Exploration,,remaining_manual_review
classification_json,S0011-52582008000200002.json,S0011-52582008000200002,evidence_type,evidence_type_null,ERROR,<NULL>,quantitative; qualitative; mixed; theoretical-normative,,remaining_manual_review
classification_json,S0011-52582008000200002.json,S0011-52582008000200002,method_status,method_status_null,ERROR,<NULL>,explicit; essayistic,,remaining_manual_review
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,error_in_raw_text,error_in_raw_text_invalid,ERROR,FALSE [logical],No Error; Missing/Corrupt; Title/Text Mismatch,,resolved_by_normalization
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,general_goal_of_analysis,general_goal_of_analysis_invalid,ERROR,"Analyze the formation of the concept of federalism in 19th century Brazilian political debate, tracing the transition from confederation to federalism and the role of provincial... [character]",Describe; Predict; Explain,,remaining_manual_review
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,single_country_study,single_country_study_invalid,ERROR,TRUE [logical],single_country; multiple_countries,,resolved_by_normalization
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,single_region,single_region_invalid,ERROR,FALSE [logical],single_region; multiple_region,,remaining_manual_review
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,countries_of_focus,countries_of_focus_invalid_string,ERROR,<LIST> [list],string/null,,resolved_by_normalization
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,paper_uses_survey_data,paper_uses_survey_data_invalid,ERROR,FALSE [logical],no_survey_data; runs_original_survey; uses_public_available_survey,,resolved_by_normalization
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,uses_original_dataset,uses_original_dataset_invalid,ERROR,FALSE [logical],original_survey; field_experiment; field_study; structure_systematize; procure_original_data; other_original_data; not_original,,resolved_by_normalization
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,clear_causal_quantity_of_interest,clear_causal_quantity_of_interest_invalid,ERROR,FALSE [logical],ATE; ATT; ATC; LATE; CATE; ITT; FALSE,,resolved_by_normalization
classification_json,S0011-52582008000400005.json,S0011-52582008000400005,effort_to_explore_mechanisms,effort_to_explore_mechanisms_invalid,ERROR,FALSE [logical],No Mention of Mechanisms/Channels; Mechanisms/Channels Mentioned But Not Explored; Mechanisms/Channels Mentioned With Substantial Exploration,,remaining_manual_review
classification_json,S0011-52582010000200002.json,S0011-52582010000200002,error_in_raw_text,error_in_raw_text_invalid,ERROR,FALSE [logical],No Error; Missing/Corrupt; Title/Text Mismatch,,resolved_by_normalization
classification_json,S0011-52582010000200002.json,S0011-52582010000200002,general_goal_of_analysis,general_goal_of_analysis_invalid,ERROR,Map and critically examine the methodological debate around Quentin Skinner's linguistic contextualism in the history of political thought [character],Describe; Predict; Explain,,remaining_manual_review
classification_json,S0011-52582010000200002.json,S0011-52582010000200002,paper_uses_survey_data,paper_uses_survey_data_invalid,ERROR,FALSE [logical],no_survey_data; runs_original_survey; uses_public_available_survey,,resolved_by_normalization
classification_json,S0011-52582010000200002.json,S0011-52582010000200002,uses_original_dataset,uses_original_dataset_invalid,ERROR,FALSE [logical],original_survey; field_experiment; field_study; structure_systematize; procure_original_data; other_original_data; not_original,,resolved_by_normalization
classification_json,S0011-52582010000200002.json,S0011-52582010000200002,clear_causal_quantity_of_interest,clear_causal_quantity_of_interest_invalid,ERROR,FALSE [logical],ATE; ATT; ATC; LATE; CATE; ITT; FALSE,,resolved_by_normalization
classification_json,S0011-52582010000200002.json,S0011-52582010000200002,effort_to_explore_mechanisms,effort_to_explore_mechanisms_invalid,ERROR,FALSE [logical],No Mention of Mechanisms/Channels; Mechanisms/Channels Mentioned But Not Explored; Mechanisms/Channels Mentioned With Substantial Exploration,,remaining_manual_review
classification_json,S0011-52582010000300002.json,S0011-52582010000300002,error_in_raw_text,error_in_raw_text_invalid,ERROR,FALSE [logical],No Error; Missing/Corrupt; Title/Text Mismatch,,resolved_by_normalization
classification_json,S0011-52582010000300002.json,S0011-52582010000300002,general_goal_of_analysis,general_goal_of_analysis_invalid,ERROR,"Provide a theoretical framework for comparative analysis of constitutional choices in new democracies, examining how policy-oriented constitutions affect government agendas and ... [character]",Describe; Predict; Explain,,remaining_manual_review
classification_json,S0011-52582010000300002.json,S0011-52582010000300002,single_country_study,single_country_study_invalid,ERROR,FALSE [logical],single_country; multiple_countries,,remaining_manual_review
classification_json,S0011-52582010000300002.json,S0011-52582010000300002,paper_uses_survey_data,paper_uses_survey_data_invalid,ERROR,FALSE [logical],no_survey_data; runs_original_survey; uses_public_available_survey,,resolved_by_normalization
classification_json,S0011-52582010000300002.json,S0011-52582010000300002,uses_original_dataset,uses_original_dataset_invalid,ERROR,FALSE [logical],original_survey; field_experiment; field_study; structure_systematize; procure_original_data; other_original_data; not_original,,resolved_by_normalization
classification_json,S0011-52582010000300002.json,S0011-52582010000300002,clear_causal_quantity_of_interest,clear_causal_quantity_of_interest_invalid,ERROR,FALSE [logical],ATE; ATT; ATC; LATE; CATE; ITT; FALSE,,resolved_by_normalization
classification_json,S0011-52582010000300002.json,S0011-52582010000300002,effort_to_explore_mechanisms,effort_to_explore_mechanisms_invalid,ERROR,FALSE [logical],No Mention of Mechanisms/Channels; Mechanisms/Channels Mentioned But Not Explored; Mechanisms/Channels Mentioned With Substantial Exploration,,remaining_manual_review
classification_json,S0011-52582011000100004.json,S0011-52582011000100004,error_in_raw_text,error_in_raw_text_null,ERROR,<NULL>,No Error; Missing/Corrupt; Title/Text Mismatch,,resolved_by_normalization
classification_json,S0011-52582011000100004.json,S0011-52582011000100004,general_goal_of_analysis,general_goal_of_analysis_invalid,ERROR,Systematize arguments and evidence against the assumptions that the welfare state is only possible in developed countries and that redistribution necessarily weakens economic gr... [character],Describe; Predict; Explain,,remaining_manual_review
classification_json,S0011-52582011000100004.json,S0011-52582011000100004,single_country_study,single_country_study_invalid,ERROR,FALSE [logical],single_country; multiple_countries,,remaining_manual_review
classification_json,S0011-52582011000100004.json,S0011-52582011000100004,single_region,single_region_invalid,ERROR,FALSE [logical],single_region; multiple_region,,remaining_manual_review
classification_json,S0011-52582011000100004.json,S0011-52582011000100004,paper_uses_survey_data,paper_uses_survey_data_invalid,ERROR,FALSE [logical],no_survey_data; runs_original_survey; uses_public_available_survey,,resolved_by_normalization
classification_json,S0011-52582011000100004.json,S0011-52582011000100004,uses_original_dataset,uses_original_dataset_invalid,ERROR,FALSE [logical],original_survey; field_experiment; field_study; structure_systematize; procure_original_data; other_original_data; not_original,,resolved_by_normalization
classification_json,S0011-52582011000100004.json,S0011-52582011000100004,clear_causal_quantity_of_interest,clear_causal_quantity_of_interest_invalid,ERROR,FALSE [logical],ATE; ATT; ATC; LATE; CATE; ITT; FALSE,,resolved_by_normalization
classification_json,S0011-52582011000100004.json,S0011-52582011000100004,effort_to_explore_mechanisms,effort_to_explore_mechanisms_invalid,ERROR,TRUE [logical],No Mention of Mechanisms/Channels; Mechanisms/Channels Mentioned But Not Explored; Mechanisms/Channels Mentioned With Substantial Exploration,,remaining_manual_review
classification_json,S0011-52582013000100006.json,S0011-52582013000100006,error_in_raw_text,error_in_raw_text_invalid,ERROR,FALSE [logical],No Error; Missing/Corrupt; Title/Text Mismatch,,resolved_by_normalization
classification_json,S0011-52582013000100006.json,S0011-52582013000100006,general_goal_of_analysis,general_goal_of_analysis_invalid,ERROR,"Understand how Sciences Po affirmative action programs in disadvantaged high schools in Seine-Saint-Denis transform students' perceptions of meritocracy, inequality, and discrim... [character]",Describe; Predict; Explain,,remaining_manual_review
classification_json,S0011-52582013000100006.json,S0011-52582013000100006,single_country_study,single_country_study_invalid,ERROR,TRUE [logical],single_country; multiple_countries,,resolved_by_normalization
